"Date","Price","Open","High","Low","Vol.","Change %"
"05/04/2025","35.48","35.00","35.50","35.00","114.27K","1.37%"
"04/30/2025","35.00","35.00","35.00","34.70","1.24M","0.00%"
"04/29/2025","35.00","35.10","35.49","34.80","286.46K","-0.28%"
"04/28/2025","35.10","34.83","35.84","34.50","1.30M","1.77%"
"04/27/2025","34.49","34.00","34.65","34.00","57.48K","1.05%"
"04/23/2025","34.13","33.48","35.00","33.25","1.66M","3.36%"
"04/22/2025","33.02","33.52","33.52","33.02","400.31K","-2.31%"
"04/17/2025","33.80","33.79","33.80","33.16","758.08K","0.00%"
"04/16/2025","33.80","33.98","33.98","33.20","725.29K","0.90%"
"04/15/2025","33.50","34.40","34.40","33.50","450.76K","-1.47%"
"04/14/2025","34.00","34.82","34.82","33.80","399.60K","-2.38%"
"04/13/2025","34.83","33.53","34.85","33.53","260.85K","3.91%"
"04/10/2025","33.52","33.80","34.29","33.52","376.46K","-0.24%"
"04/09/2025","33.60","34.00","34.99","33.06","5.15M","-1.21%"
"04/08/2025","34.01","32.00","34.10","32.00","6.85M","7.05%"
"04/07/2025","31.77","32.12","32.12","31.20","264.60K","-1.12%"
"04/06/2025","32.13","32.37","32.38","31.00","196.82K","-2.10%"
"04/03/2025","32.82","32.90","32.98","32.19","230.26K","-1.29%"
"03/27/2025","33.25","32.50","33.25","32.19","963.89K","2.21%"
"03/26/2025","32.53","32.75","32.75","32.17","5.31M","-0.67%"
"03/25/2025","32.75","32.35","33.00","32.00","222.76K","1.24%"
"03/24/2025","32.35","32.27","32.92","32.05","895.75K","0.25%"
"03/23/2025","32.27","33.00","33.45","32.17","171.41K","-2.21%"
"03/20/2025","33.00","30.75","33.00","30.75","1.29M","6.45%"
"03/19/2025","31.00","30.88","31.25","30.61","724.64K","-0.80%"
"03/18/2025","31.25","30.85","31.25","30.52","1.42M","1.20%"
"03/17/2025","30.88","30.30","30.88","30.26","160.17K","2.08%"
"03/16/2025","30.25","31.11","31.17","30.25","303.72K","-2.76%"
"03/13/2025","31.11","30.50","31.11","30.50","4.27M","1.34%"
"03/12/2025","30.70","30.80","30.98","30.50","3.66M","0.00%"
"03/11/2025","30.70","30.70","30.88","30.00","3.65M","0.00%"
"03/10/2025","30.70","30.75","31.00","30.45","3.99M","0.16%"
"03/09/2025","30.65","31.20","31.55","30.55","117.49K","-1.92%"
"03/06/2025","31.25","31.48","31.50","31.03","6.48M","-0.76%"
"03/05/2025","31.49","31.39","31.49","30.65","163.19K","2.24%"
"03/04/2025","30.80","31.00","31.50","30.70","581.73K","-0.68%"
"03/03/2025","31.01","31.65","31.70","30.56","636.56K","-0.61%"
"03/02/2025","31.20","31.10","32.00","31.00","674.48K","0.65%"
"02/27/2025","31.00","31.47","31.47","30.85","3.59M","-1.59%"
"02/26/2025","31.50","31.30","31.50","31.01","1.27M","0.64%"
"02/25/2025","31.30","31.30","31.50","31.00","1.15M","0.00%"
"02/24/2025","31.30","31.01","31.30","30.88","3.50M","0.13%"
"02/23/2025","31.26","31.25","31.59","30.77","207.06K","0.19%"
"02/20/2025","31.20","31.00","31.32","30.70","3.77M","0.65%"
"02/19/2025","31.00","31.01","31.03","30.50","1.06M","0.00%"
"02/18/2025","31.00","31.00","31.17","30.51","431.36K","0.00%"
"02/17/2025","31.00","31.85","31.97","30.85","3.56M","-2.85%"
"02/16/2025","31.91","31.50","32.00","31.06","209.21K","1.14%"
"02/13/2025","31.55","29.90","31.70","29.90","3.08M","5.45%"
"02/12/2025","29.92","29.93","29.93","29.06","251.21K","-0.03%"
"02/11/2025","29.93","30.00","30.22","29.26","1.74M","-0.23%"
"02/10/2025","30.00","30.05","30.44","29.85","555.38K","-1.48%"
"02/09/2025","30.45","29.95","30.95","29.06","824.02K","1.67%"
"02/06/2025","29.95","28.10","30.13","27.90","923.09K","6.58%"
"02/05/2025","28.10","28.00","28.26","27.86","375.99K","0.72%"
"02/04/2025","27.90","28.40","28.40","27.90","672.99K","-1.76%"
"02/03/2025","28.40","28.50","29.00","27.91","553.96K","-0.39%"
"02/02/2025","28.51","29.13","29.69","28.50","356.85K","-2.13%"
"01/30/2025","29.13","28.96","29.33","28.56","566.51K","1.15%"
"01/29/2025","28.80","28.50","28.80","28.20","394.28K","1.41%"
"01/28/2025","28.40","28.42","28.90","28.35","711.50K","-0.04%"
"01/27/2025","28.41","28.40","28.67","28.10","149.75K","0.92%"
"01/26/2025","28.15","28.80","28.90","28.06","173.39K","-2.09%"
"01/23/2025","28.75","27.71","30.20","27.71","498.17K","3.60%"
"01/22/2025","27.75","27.94","27.98","27.70","2.31M","-0.68%"
"01/21/2025","27.94","27.63","27.94","27.01","1.61M","1.05%"
"01/20/2025","27.65","27.99","27.99","27.58","1.30M","-1.11%"
"01/19/2025","27.96","27.60","28.00","27.60","74.82K","1.60%"
"01/16/2025","27.52","28.00","28.18","27.50","222.67K","-1.71%"
"01/15/2025","28.00","27.52","28.00","27.07","1.36M","1.74%"
"01/14/2025","27.52","27.71","27.88","27.40","1.64M","-0.65%"
"01/13/2025","27.70","28.00","28.08","27.50","648.81K","-0.36%"
"01/12/2025","27.80","27.45","28.00","27.00","168.47K","1.46%"
"01/09/2025","27.40","27.55","28.00","27.40","995.68K","-0.54%"
"01/08/2025","27.55","28.05","28.30","24.00","1.66M","-1.68%"
"01/06/2025","28.02","29.23","29.25","28.00","806.11K","-4.14%"
"01/05/2025","29.23","29.50","29.50","29.15","95.53K","0.00%"
"01/02/2025","29.23","29.50","29.69","29.15","102.71K","-0.92%"
"12/31/2024","29.50","28.88","29.50","28.55","344.77K","2.11%"
"12/30/2024","28.89","28.80","29.09","28.50","566.17K","1.37%"
"12/29/2024","28.50","29.45","29.45","28.40","541.41K","-3.09%"
"12/26/2024","29.41","29.53","29.53","29.00","65.98K","0.03%"
"12/25/2024","29.40","29.46","29.50","29.25","52.26K","-0.20%"
"12/24/2024","29.46","29.60","29.60","29.13","97.83K","-0.24%"
"12/23/2024","29.53","29.27","29.62","29.21","231.47K","0.89%"
"12/22/2024","29.27","29.45","29.85","29.27","90.65K","-0.61%"
"12/19/2024","29.45","29.50","29.80","29.05","1.23M","-1.44%"
"12/18/2024","29.88","29.70","29.88","29.12","181.82K","1.08%"
"12/17/2024","29.56","29.99","29.99","29.40","338.17K","-1.47%"
"12/16/2024","30.00","29.51","30.00","29.31","182.93K","0.84%"
"12/15/2024","29.75","29.60","30.00","29.50","67.81K","-0.83%"
"12/12/2024","30.00","29.79","30.00","29.50","978.49K","-0.79%"
"12/11/2024","30.24","28.71","30.24","28.51","3.30M","4.28%"
"12/10/2024","29.00","29.54","29.54","28.60","741.14K","-1.83%"
"12/09/2024","29.54","29.47","29.63","28.70","3.68M","0.68%"
"12/08/2024","29.34","28.91","29.50","28.63","362.24K","1.52%"
"12/05/2024","28.90","29.50","30.09","28.40","866.50K","-2.03%"
"12/04/2024","29.50","30.00","32.00","29.42","4.14M","-1.67%"
"12/03/2024","30.00","29.49","30.00","28.85","5.12M","1.73%"
"12/02/2024","29.49","27.92","29.49","27.50","4.70M","5.62%"
