"Date","Price","Open","High","Low","Vol.","Change %"
"10/19/2025","95.50","95.75","96.36","95.05","374.57K","-0.19%"
"10/16/2025","95.68","96.32","96.82","95.68","2.91M","-0.71%"
"10/15/2025","96.36","95.45","96.36","95.06","1.15M","1.39%"
"10/14/2025","95.05","94.73","95.82","94.73","952.96K","0.42%"
"10/13/2025","94.65","94.77","96.09","94.65","4.35M","0.06%"
"10/12/2025","94.59","96.27","96.27","94.59","1.55M","-1.75%"
"10/08/2025","96.27","95.00","96.27","94.55","870.16K","0.86%"
"10/07/2025","95.45","95.05","95.91","94.55","737.71K","0.43%"
"10/06/2025","95.05","95.50","96.00","94.36","2.48M","-0.48%"
"10/05/2025","95.50","93.90","96.27","93.65","1.77M","1.70%"
"10/02/2025","93.90","92.87","94.00","92.73","1.30M","1.25%"
"10/01/2025","92.74","91.77","93.82","91.18","2.53M","1.00%"
"09/30/2025","91.82","90.19","91.82","90.05","4.49M","1.25%"
"09/29/2025","90.68","90.45","90.82","89.64","2.85M","0.35%"
"09/28/2025","90.36","89.04","90.91","88.64","1.90M","1.95%"
"09/25/2025","88.64","89.55","90.00","88.64","1.48M","-1.27%"
"09/24/2025","89.77","87.26","90.00","87.01","2.00M","3.18%"
"09/23/2025","87.01","87.72","87.77","86.70","1.31M","-0.30%"
"09/22/2025","87.27","88.27","88.77","86.35","4.38M","-1.03%"
"09/21/2025","88.18","90.00","90.00","88.18","717.15K","-2.00%"
"09/18/2025","89.98","89.36","90.09","88.91","3.82M","0.59%"
"09/17/2025","89.45","88.81","89.73","88.19","2.43M","1.43%"
"09/16/2025","88.19","89.09","89.73","88.19","3.53M","-0.95%"
"09/15/2025","89.04","87.74","89.08","87.73","2.62M","1.49%"
"09/14/2025","87.73","87.25","88.18","87.25","1.26M","0.53%"
"09/11/2025","87.26","86.36","87.27","85.51","1.30M","1.17%"
"09/10/2025","86.25","85.45","86.55","84.64","1.00M","0.94%"
"09/09/2025","85.45","87.18","87.45","84.82","2.99M","-1.96%"
"09/08/2025","87.16","86.00","87.25","85.60","5.12M","1.89%"
"09/07/2025","85.55","87.27","87.49","85.55","441.94K","-1.98%"
"09/03/2025","87.27","87.27","87.27","86.64","1.85M","0.00%"
"09/02/2025","87.27","86.82","87.27","86.00","1.62M","1.04%"
"09/01/2025","86.37","87.77","88.18","85.73","7.14M","-1.55%"
"08/31/2025","87.74","88.32","88.75","87.26","753.63K","-0.64%"
"08/28/2025","88.30","89.08","89.98","88.18","1.57M","-0.88%"
"08/27/2025","89.08","88.38","89.18","87.82","1.48M","1.02%"
"08/26/2025","88.18","90.08","90.91","88.18","14.11M","-2.04%"
"08/25/2025","90.02","89.56","90.36","89.56","763.98K","0.52%"
