"Date","Price","Open","High","Low","Vol.","Change %"
"11/13/2024","3.60","3.75","3.85","3.60","60.14M","0.00%"
"11/12/2024","3.60","3.53","3.65","3.43","7.94M","2.86%"
"11/11/2024","3.50","3.49","3.52","3.43","2.03M","0.86%"
"11/10/2024","3.47","3.50","3.54","3.44","3.03M","-0.86%"
"11/07/2024","3.50","3.57","3.60","3.46","7.95M","-1.41%"
"11/06/2024","3.55","3.35","3.65","3.35","27.80M","5.97%"
"11/05/2024","3.35","3.39","3.40","3.31","2.97M","-0.30%"
"11/04/2024","3.36","3.31","3.41","3.27","8.66M","1.51%"
"11/03/2024","3.31","3.16","3.37","3.16","8.40M","5.08%"
"10/31/2024","3.15","3.15","3.20","3.14","975.56K","0.32%"
"10/30/2024","3.14","3.18","3.25","3.13","2.18M","-0.63%"
"10/29/2024","3.16","3.15","3.23","3.11","1.58M","0.32%"
"10/28/2024","3.15","3.18","3.31","3.14","3.42M","-1.56%"
"10/27/2024","3.20","3.26","3.31","3.19","3.12M","-1.84%"
"10/24/2024","3.26","3.05","3.28","3.01","13.81M","7.95%"
"10/23/2024","3.02","3.04","3.10","3.00","4.25M","0.00%"
"10/22/2024","3.02","3.01","3.04","2.99","4.24M","1.00%"
"10/21/2024","2.99","2.96","3.01","2.95","1.55M","1.01%"
"10/20/2024","2.96","3.00","3.04","2.95","2.07M","-1.33%"
"10/17/2024","3.00","3.05","3.13","2.99","1.81M","-1.32%"
"10/16/2024","3.04","3.00","3.15","3.00","8.59M","1.33%"
"10/15/2024","3.00","3.00","3.02","2.99","1.28M","0.33%"
"10/14/2024","2.99","3.06","3.06","2.98","3.15M","-0.33%"
"10/13/2024","3.00","3.15","3.15","3.00","1.77M","-2.60%"
"10/10/2024","3.08","3.16","3.16","3.05","3.15M","-0.96%"
"10/09/2024","3.11","3.09","3.18","3.03","5.14M","3.67%"
"10/08/2024","3.00","3.18","3.19","2.97","6.91M","-5.06%"
"10/07/2024","3.16","3.20","3.23","3.15","1.29M","-1.25%"
"10/03/2024","3.20","3.20","3.24","3.14","1.76M","0.63%"
"10/02/2024","3.18","3.25","3.29","3.15","2.00M","-3.34%"
"10/01/2024","3.29","3.37","3.39","3.24","5.30M","-2.08%"
"09/30/2024","3.36","3.37","3.42","3.35","3.05M","-0.59%"
"09/29/2024","3.38","3.37","3.43","3.36","3.02M","0.60%"
"09/26/2024","3.36","3.44","3.46","3.36","2.37M","-1.18%"
"09/25/2024","3.40","3.35","3.45","3.34","8.78M","1.49%"
"09/24/2024","3.35","3.42","3.44","3.33","2.82M","-1.47%"
"09/23/2024","3.40","3.35","3.47","3.32","3.31M","1.80%"
"09/22/2024","3.34","3.37","3.39","3.28","2.00M","0.91%"
"09/19/2024","3.31","3.34","3.39","3.30","1.03M","0.61%"
"09/18/2024","3.29","3.27","3.35","3.25","1.47M","0.61%"
"09/17/2024","3.27","3.32","3.33","3.26","1.26M","-1.51%"
"09/16/2024","3.32","3.37","3.40","3.31","641.38K","-0.90%"
"09/12/2024","3.35","3.39","3.41","3.34","935.37K","0.00%"
"09/11/2024","3.35","3.44","3.44","3.34","1.44M","-1.47%"
"09/10/2024","3.40","3.46","3.50","3.40","1.28M","-1.45%"
"09/09/2024","3.45","3.45","3.50","3.44","1.48M","0.00%"
"09/08/2024","3.45","3.54","3.54","3.42","1.93M","-2.54%"
"09/05/2024","3.54","3.51","3.57","3.49","1.89M","1.14%"
"09/04/2024","3.50","3.49","3.53","3.45","2.22M","0.00%"
"09/03/2024","3.50","3.58","3.59","3.49","2.24M","-0.85%"
"09/02/2024","3.53","3.56","3.61","3.50","1.50M","0.57%"
"09/01/2024","3.51","3.65","3.70","3.50","2.68M","-2.77%"
"08/29/2024","3.61","3.67","3.75","3.60","2.92M","-1.63%"
"08/28/2024","3.67","3.62","3.72","3.60","7.62M","1.66%"
"08/27/2024","3.61","3.60","3.67","3.58","1.98M","0.28%"
"08/26/2024","3.60","3.64","3.65","3.56","2.52M","-0.83%"
"08/25/2024","3.63","3.70","3.70","3.54","3.43M","-1.89%"
"08/22/2024","3.70","3.54","3.78","3.54","24.67M","4.82%"
"08/21/2024","3.53","3.51","3.62","3.51","4.42M","-0.56%"
"08/20/2024","3.55","3.43","3.57","3.42","8.88M","3.20%"
"08/19/2024","3.44","3.46","3.48","3.42","2.96M","-0.29%"
"08/18/2024","3.45","3.50","3.57","3.43","5.32M","-0.58%"
"08/15/2024","3.47","3.50","3.53","3.42","1.43M","0.00%"
"08/14/2024","3.47","3.51","3.57","3.47","4.87M","-0.86%"
"08/13/2024","3.50","3.62","3.65","3.37","7.76M","-3.05%"
"08/12/2024","3.61","3.70","3.70","3.57","12.24M","-1.90%"
"08/11/2024","3.68","3.64","3.75","3.54","11.43M","4.25%"
"08/08/2024","3.53","3.70","3.70","3.51","6.44M","-4.59%"
"08/07/2024","3.70","3.42","3.71","3.32","30.36M","9.47%"
"08/06/2024","3.38","3.30","3.41","3.27","14.24M","4.64%"
"08/05/2024","3.23","3.50","3.50","3.08","30.42M","-9.27%"
"08/04/2024","3.56","3.53","3.63","3.35","18.30M","-3.26%"
"08/01/2024","3.68","3.78","3.83","3.66","37.82M","-2.13%"
"07/31/2024","3.76","3.69","3.90","3.61","101.23M","1,404.00%"
"07/30/2024","0.25","0.25","0.25","0.25","","0.00%"
"07/29/2024","0.25","0.25","0.25","0.25","","0.00%"
"07/28/2024","0.25","0.25","0.25","0.25","","0.00%"
"07/24/2024","0.25","0.25","0.25","0.25","","0.00%"
"07/23/2024","0.25","0.25","0.25","0.25","","0.00%"
"07/22/2024","0.25","0.25","0.25","0.25","","0.00%"
"07/21/2024","0.25","0.25","0.25","0.25","","0.00%"
"07/18/2024","0.25","0.25","0.25","0.25","","0.00%"
"07/17/2024","0.25","0.25","0.25","0.25","","0.00%"
"07/16/2024","0.25","0.25","0.25","0.25","","0.00%"
"07/15/2024","0.25","0.25","0.25","0.25","","0.00%"
"07/14/2024","0.25","0.25","0.25","0.25","","0.00%"
"07/10/2024","0.25","0.25","0.25","0.25","","0.00%"
"07/09/2024","0.25","0.25","0.25","0.25","","0.00%"
"07/08/2024","0.25","0.25","0.25","0.25","","0.00%"
"07/07/2024","0.25","0.25","0.25","0.25","","0.00%"
"07/04/2024","0.25","0.25","0.25","0.25","","0.00%"
"07/03/2024","0.25","0.25","0.25","0.25","","0.00%"
"07/02/2024","0.25","0.25","0.25","0.25","","0.00%"
"07/01/2024","0.25","0.25","0.25","0.25","","0.00%"
"06/27/2024","0.25","0.25","0.25","0.25","","0.00%"
"06/26/2024","0.25","0.25","0.25","0.25","","0.00%"
"06/25/2024","0.25","0.25","0.25","0.25","","0.00%"
